number,status,fed_register
69912B-0,In RO for in-processing,Noticed for 30 days
040792-4,In RO for in-processing,Noticed for 30 days
31057A-1,In RO for in-processing,on 30 day notice period
75715B-0,In RO for in-processing,N/A
86220A-2,Ready for Review,on 30 day notice period
021030-4,In RO for in-processing,on 30 day notice period
56749B-1,In RO for in-processing,N/A
121073-1,Issued,Noticed for 30 days
78650B-0,In RO for in-processing,on 30 day notice period
79173B-0,Issued,N/A
79911B,Issued,N/A
102292-11,Issued,Noticed for 30 days
824723-9,In RO for in-processing,N/A
237535-2,In RO for in-processing,on 30 day notice period
81500B-0,In RO for in-processing,on 30 day notice period
81492B-0,In RO for in-processing,on 30 day notice period
81353B-0,In RO for in-processing,on 30 day notice period
81430B-0,In RO for in-processing,on 30 day notice period
34778A-1,In RO for in-processing,on 30 day notice period
81548B-0,Awaiting input from applicant,
0,In RO for in-processing,
81497B-0,Issued,
81493B-0,Issued,
81357B-0,Issued,
81470B-0,Issued,
81354B-0,Issued,
81323B-0,Issued,
81352B-0,Issued,
81587B-0,In RO for in-processing,on 30 day notice period
82995B-0,Issued,
83011B-0,Issued,Noticed for 30 days
83013B-0,Issued,Noticed for 30 days
53149B-1,In RO for Review,on 30 day notice period
206872-7,In RO for Review,on 30 day notice period
83000B-0,In RO for Review,on 30 day notice period
94849B-0,Issued,N/A
88778B-0,In RO for Review,on 30 day notice period
88797B-0,In RO for Review,on 30 day notice period
88809B-0,In RO for Review,on 30 day notice period
88811B-0,Issued,on 30 day notice period
88817B-0,Withdrawn,on 30 day notice period
88823B-0,In RO for Review,on 30 day notice period
48579B-1,Awaiting signature,on 30 day notice period
48582B-1,Issued,N/A
807672-17,Awaiting signature,N/A
12392A-2,In FO for Review,on 30 day notice period
37661B-1,Issued,Noticed for 30 days
125620-4,In RO for Review,on 30 day notice period
38792A-2,In RO for Review,N/A
35313B-3,Issued,N/A
56746B-1,Awaiting signature,N/A
91373A-3,In RO for Review,Noticed for 30 days
54578B-1,In RO for Review,Noticed for 30 days
676379-6,In RO for Review,N/A
91366A-3,In RO for Review,Noticed for 30 days
064856-2,In RO for Review,N/A
079883-2,In RO for Review,N/A
63633A-3,In RO for Review,Noticed for 30 days
13844A-3,In RO for Review,Noticed for 30 days
91704B-0,In RO for Review,N/A
075925-3,In RO for Review,N/A
91733B-0,In RO for Review,Noticed for 30 days
91755B-0,In RO for Review,Noticed for 30 days
92689B-0,Issued,N/A
92802B-0,Issued,N/A
92805B-0,Issued,N/A
9340B-0,Issued,N/A
98424B,Issued,N/A
98518B,In RO for Review,N/A
98507B,In RO for Review,N/A
98515B,In RO for Review,N/A
206894-1,In RO for Review,N/A
98596B-0,In RO for Review,needs to be drafted
049738-8,Withdrawn,on 30 day notice period
089074-2,In RO for Review,needs to be drafted
98486B-0,In RO for Review,N/A
114069-3,In RO for Review,needs to be drafted
810274-12,In RO for Review,needs to be drafted
145045-2,In RO for Review,needs to be drafted
98518B-0,In RO for Review,N/A
98515B-0,In RO for Review,N/A
98507B-0,In RO for Review,N/A
070796-8,In RO for Review,needs to be drafted
