name,station_type,stations_supported,city,state,website,facebook,twitter,mission
Friends of Tennessee National Wildlife Refuge,refuge,Tennessee,Paris,Tennessee,tnwrfriends.org,https://www.facebook.com/FriendsOfTennesseeNationalWildlifeRefuge/,,"<p>Friends of Tennessee National Wildlife Refuge, Inc. is an independent, non-profit corporation dedicated to supporting the primary purposes for which the Tennessee National Wildlife Refuge was established and promoting the preservation of the natural and historical resources of the Refuge, foster its use and enjoyment by the public consistent with the protection and preservation of its environment, and engage in such educational, scientific and civic activities as will assist the management of the Refuge in carrying out its mandates.</p>"
Friends of the Arthur R. Marshall Loxahatchee National Wildlife Refuge,refuge,A.R.M. Loxahatchee,Delray Beach,Florida,loxahatcheefriends.com,https://www.facebook.com/loxahatcheefriends/,,"<p>The purpose of the Loxahatchee Friends is to promote a better understanding and appreciation of the natural history and environment of south Florida, the Arthur R. Marshall Loxahatchee National Wildlife Refuge, and the entire Everglades system.</p>"
Friends of the Carr Refuge,refuge,Archie Carr,Vero Beach,Florida,http://www.carrrefuge.org/,https://www.facebook.com/FriendsoftheCarrRefuge/?fref=ts,,
Friends of the Florida Panther,refuge,"Florida Panther, Ten Thousand Islands",Immokalee,Florida,floridapanther.org,https://www.facebook.com/FOFPR/?fref=ts,https://twitter.com/FFPantherR,<p>Friends of the Florida Panther Refuge is the official Support Organization created to promote a better understanding and appreciation of the National Wildlife Refuge System and in particular the Florida Panther National Wildlife Refuge.</p>
Friends of Pocosin Lakes,refuge,Pocosin Lakes,Columbia,North Carolina, ,https://www.facebook.com/PocosinLakes/info/?tab=overview,,"<p>The mission of the Friends of Pocosin Lakes National Wildlife Refuge is to help protect the natural treasures of the Pocosin Lakes National Wildlife Refuge by promoting informed public awareness of the refuge and its importance to all of us and future generations, raising funds and providing willing hands for various needed projects, and being a friend to the refuge in a variety of ways.</p>"
Friends of the Red River National Wildlife Refuge (formerly known as Red River Refuge Alliance Inc.),refuge,Red River,Shreveport,Louisiana,friendsofredriver.org,https://www.facebook.com/FriendsofRedRiver,,"<p>Our mission is to be an advocate for the Red River National Wildlife Refuge by promoting and participating in the conservation, enhancement, and appreciation of our native wildlife communities through education, fund raising, development of partnerships, and development of onsite projects for volunteers.</p>"
"Friends of the Savannah Coastal Wildlife Refuges, Inc.               ",refuge,Savannah Coastal Refuges Complex,Savannah,Georgia,coastalrefuges.org,https://www.facebook.com/FriendsOfTheSavannahCoastalWildlifeRefuges/?fref=ts,,"<p>Friends of the Savannah Coastal Wildlife Refuges, Inc., is a group of concerned citizens of coastal Georgia and South Carolina who share an interest in seeing that the seven National Wildlife Refuges within our area are maintained and protected as sanctuaries for wild creatures and the habitat they need to survive.</p>"
Friends of West Tennessee Refuges,refuge,"Reelfoot, Lake Isom, Chickasaw, Lower Hatchie, Hatchie",Dyersburg,Tennessee,http://www.fws.gov/refuge/Reelfoot/what_we_do/get_involved.html,,,
"Friends of White River National Wildlife Refuge, Inc.",refuge,White River,St. Charles,Arkansas,http://www.whiteriverrefuge.com/,https://www.facebook.com/WhiteRiverNWR/?fref=ts,,
Merritt Island Wildlife Association,refuge,Merritt Island,Titusville,Florida,merrittislandwildlifeassociation.org,https://www.facebook.com/merrittislandwildlifeassociation/?fref=ts,,"<p>MIWA promotes conservation, awareness, and appreciation and use of the Merritt Island National Wildlife Refuge and supports Refuge programs.</p>"
